Title,URL,Snippet
#sonatafyfamily #playwright #qa #tester #automation #hiring ...,https://www.linkedin.com/posts/sonatafy_sonatafyfamily-playwright-qa-activity-7373411054732722176-RZgN,"Sep 15, 2025 ... We are looking for a QA Engineer from Latin America to join our team. Check our open position and apply: https://hubs.la/Q03Jnf6x0 ..."
#hiring #vancouvertech #mobiledevelopment #fullstack ...,https://www.linkedin.com/posts/pixieset_hiring-vancouvertech-mobiledevelopment-activity-7371218365404676096-UlIh,"Sep 9, 2025 ... ... Mobile Developer to join our team. As part of the team, you'll: Build and maintain high-quality mobile apps (one already has a 5-star ..."
Join our team at Sonia (YC W24) in San Francisco! :) | Lukas Wolf,https://www.linkedin.com/posts/lukas-wo_join-our-team-at-sonia-yc-w24-in-san-francisco-activity-7371956557154181121-WILU,"Sep 11, 2025 ... Join our team at Sonia (YC W24) in San Francisco! : ... We're getting closer and are hiring a design engineer, AI engineer ..."
"The Misunderstood AI: Pros, Cons, and the Need for Understanding ...",https://www.linkedin.com/posts/jacobbillings_ai-is-a-buzz-word-its-often-not-what-people-activity-7371132715657678848-_Bf-,"Sep 9, 2025 ... ... AI Engineer | | Book of Mormon Researcher | Mesoamerican/Mesopotamian linguist ... You still need your judgment, reasoning, and creativity."
*****CONTRACT ROLE***** *****CONTRACT ROLE ...,https://www.linkedin.com/posts/dhamu-nambakam-1a57a3243_contract-role-contract-role-activity-7374449913306230784-X-ak,"Sep 18, 2025 ... CONTRACT ROLE***** *****CONTRACT ROLE***** *****CONTRACT ROLE***** Role : Oracle EBS Technical Developer Location : Seattle, ..."
"How to use AI to create value, not vanity, in your service business ...",https://www.linkedin.com/posts/petersena_200-million-people-asked-the-same-question-activity-7370803204583788544-9J9N,"Sep 8, 2025 ... 19yo Freelance Frontend Engineer | Design and code interfaces that are seamless and performant | Building reusable & scalable component ..."
A concept every Full Stack Engineer should know – Server-Driven ...,https://www.linkedin.com/posts/yangshun_a-concept-every-full-stack-engineer-should-activity-7373975709024780288-DIL9,"Sep 17, 2025 ... 19yo Freelance Frontend Engineer | Design and code interfaces that are seamless and performant | Building reusable & scalable component ..."
"Senior Director, Software Engineering | Sean Vassilaros",https://www.linkedin.com/posts/seanv_senior-director-software-engineering-activity-7370819306265190400-PuMe,"Sep 8, 2025 ... Remote role within North America. Apply here: [Link to Job Posting] ... Full Stack / Backend Software Engineer: https://lnkd.in/eHBAy_uN 2."
#hiring | Raja Saleru,https://www.linkedin.com/posts/raja-saleru-25007418_hiring-activity-7371185809036566529-70N8,"Sep 9, 2025 ... Job Title: DevOps Engineer Duration: 6 months+ Chicago, IL (Hybrid ... #Hiring - W2 or FTE only, 100% remote role Position: Technical ..."
From Zero to Data Engineer: Full Career Transition Guide | Ninad ...,https://www.linkedin.com/posts/ninad-magdum-11571410b_from-zero-to-data-engineer-full-career-transition-activity-7371799693158383617-MU3R,"Sep 11, 2025 ... ... remote role (USA) where you'll be leading security-focused data ... Data Engineer ..."
[Remote Job] Senior Full-stack Developer at Lemon.io | Working ...,https://www.linkedin.com/posts/working-nomads_remote-job-senior-full-stack-developer-activity-7374430775125118977-X8Xn,"Sep 18, 2025 ... New Remote Job Alert! [Full-time job - work from Europe,Latin America,North America,APAC,UK] Senior Full-stack Developer at Lemon.io ..."
"Staff Backend Engineer, Grafana Ops - IRM | Canada | Remote | Will ...",https://www.linkedin.com/posts/wcgallego_staff-backend-engineer-grafana-ops-irm-activity-7369371166744023042-vr8S,"Sep 4, 2025 ... Come work with me! Staff Backend Engineer, Grafana Ops - IRM | Canada | Remote job-boards.greenhouse.io."
[Remote Job] Senior Full-stack Developer at Lemon.io | Working ...,https://www.linkedin.com/posts/working-nomads_remote-job-senior-full-stack-developer-activity-7374430775125118977-X8Xn,"Sep 18, 2025 ... New Remote Job Alert! [Full-time job - work from Europe,Latin America,North America,APAC,UK] Senior Full-stack Developer at Lemon.io ..."
Nvidia's Revenue Reveals Two Mystery Customers' Dominance ...,https://www.linkedin.com/posts/jessie-addison-a1713b2ba_nvidia-technews-aihardware-activity-7368279670796009472-2ZCY,"Sep 1, 2025 ... ... Data Engineer- Anywhere-Remote Two ""Mystery"" Customers Account ... Looking for a remote job in Canada? We just dropped new roles ..."
Nvidia's revenue heavily reliant on two mystery customers | Jessie ...,https://www.linkedin.com/posts/jessie-addison-a1713b2ba_nvidia-technews-aihardware-activity-7368304140931772416-545C,"Sep 1, 2025 ... Quality Assurance Analyst -Remote Lead AI Engineer- Remote ... Looking for a remote job in Canada? We just dropped new roles ..."
